UserID,Country,Language,Gender,RegDate,AgeRDATE,Fstcad,Fstpd,Pcsumstk,Pcsumwin,Pcsumbet,Pcfstdate,Pclstdate,Pcsumday,Pcintday,Pcnet,Pcab,Pcdayspc,TOPsmstk,TOPpcnet,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Segment_Name
1324752,380,3,1,2/1/2005,29,2/1/2005,2/1/2005,40335.9,37343.9,4774,2/1/2005,2005-02-16,8,16,2992.0,8.449078341,50.0,0,0,742,8,40335.9,1.3297872340425532,1.5267175572519083,1.1728751785868705,0,Low Value Dormant
1324786,40,2,1,2/1/2005,19,8/6/2005,8/6/2005,11129.75,11006.45,996,8/6/2005,2006-08-29,9,389,123.3,11.17444779,2.313624679,0,0,183,9,11129.75,75.66489361702128,1.717557251908397,0.323627525823825,1,Recent Low Spenders
1324840,191,1,1,2/1/2005,42,2/1/2005,2/1/2005,8714.75,8470.25,668,2/1/2005,2005-02-22,10,22,244.5,13.04603293,45.45454545,0,0,736,10,8714.75,2.127659574468085,1.9083969465648856,0.25340488157174945,0,Low Value Dormant
1324850,208,11,1,2/1/2005,32,2/1/2005,2/1/2005,944.4,867.55,15,2/1/2005,2005-02-06,5,6,76.85,62.96,83.33333333,0,0,752,5,944.4,0.0,0.9541984732824428,0.02746097939199176,0,Low Value Dormant
1324868,792,7,1,2/1/2005,26,11/12/2005,2/1/2005,187482.1392,178054.6787,7199,11/12/2005,2006-02-04,26,85,9427.4605,26.04280306,30.58823529,1,1,389,26,187482.1392,48.27127659574468,4.961832061068702,5.451549302136521,2,Inactive Casual
1324883,276,2,1,2/1/2005,38,2/12/2005,2/1/2005,237.25,141.25,253,2/12/2005,2006-05-22,6,465,96.0,0.937747036,1.290322581,0,0,282,6,237.25,62.5,1.1450381679389312,0.00689868420240369,1,Recent Low Spenders
1324888,40,2,1,2/1/2005,54,2/2/2005,2/1/2005,748.5,649.5,452,2/2/2005,2005-10-05,15,246,99.0,1.655973451,6.097560976,0,0,511,15,748.5,32.047872340425535,2.8625954198473282,0.021764658063220917,2,Inactive Casual
1324929,276,2,1,2/1/2005,39,10/19/2006,10/7/2005,87.5,70.5,78,10/19/2006,2007-02-22,4,127,17.0,1.121794872,3.149606299,0,0,6,4,87.5,99.20212765957447,0.7633587786259541,0.002544298704785344,4,New Casual Players
1324935,792,7,1,2/1/2005,33,2/18/2005,2/1/2005,70038.5,67951.5,3118,2/18/2005,2005-11-20,72,276,2087.0,22.46263631,26.08695652,0,0,465,72,70038.5,38.16489361702128,13.740458015267176,2.0365584552583806,2,Inactive Casual
1324942,276,2,1,2/1/2005,23,8/11/2006,2/4/2005,1363.5,1303.5,1481,8/11/2006,2006-11-04,11,86,60.0,0.920661715,12.79069767,0,0,116,11,1363.5,84.57446808510637,2.099236641221374,0.03964744324542648,4,New Casual Players
